TOTUSJH,TOTUSJZ,SAVNCPP,USFLUX,ABSNJZH,TOTPOT,SIZE_ACR,NACR,MEANPOT,SIZE,MEANJZH,SHRGT45,MEANSHR,MEANJZD,MEANALP,MEANGBT,MEANGAM,MEANGBZ,MEANGBH
1252.974,23223490000000.0,4199861000000.0,9.370987e+21,95.673,1.590129e+23,984.874512,11132.0,7627.866999999998,10012.06543,0.006095000000000001,31.42,38.627,0.28981414,0.01668663,119.259,48.477,128.092,74.80199999999998
1216.891,21978230000000.0,2636769000000.0,9.18823e+21,47.524,1.552133e+23,1020.223328,11531.0,8155.297,10209.753906,0.00331641,31.275,38.276,0.34759209,0.00804202,122.371,48.177,133.249,77.859
1398.411,28012360000000.0,4601038000000.0,1.167621e+22,30.463,2.185121e+23,1297.001465,14668.0,8053.684,11981.34668,0.00149116,38.218,41.812,0.22686136,0.00405496,113.939,52.685,118.651,75.98899999999998
3094.351,58773310000000.0,22587730000000.0,4.672886e+22,561.207,4.544167e+23,2182.356934,24683.0,5043.776,17323.580078,0.00827288,16.635,29.568,0.01418548,0.02134257,100.093,35.442,106.081,45.733
1831.521,32412940000000.0,1730751000000.0,1.394528e+22,95.627,3.725802e+23,1494.709106,16903.0,12173.92,12971.68457,0.00414974,47.772,46.081,0.14195937,0.0098293,105.265,55.959,115.254,76.232
3035.056,60788170000000.0,26770800000000.0,5.169906e+22,733.4019999999998,4.656673e+23,2276.064453,25739.0,4369.69,18093.470703,0.00913977,16.3,29.656,0.16574614,0.02668175,95.162,35.43,98.998,42.753
2039.898,35381740000000.0,3070449000000.0,1.598824e+22,222.889,4.694723e+23,1650.385498,18653.0,14438.86,13444.629883,0.00910381,50.872,47.213,0.01325092,0.01835798,106.585,56.935,116.891,77.167
3107.269,61411850000000.0,33382230000000.0,4.299924e+22,850.831,4.268417e+23,2595.587646,29320.0,4961.656,20464.154297,0.01313478,17.820999999999994,29.87,0.04030372,0.03597838,104.775,36.728,107.728,49.374
3184.411,68151560000000.0,30470730000000.0,4.103355e+22,810.921,4.540224e+23,2856.230713,32274.0,5189.645,22240.527344,0.01231,22.503,32.805,-0.00095055,0.03611525,103.953,39.79,106.575,51.712
3199.524000000001,68104230000000.0,33833870000000.0,4.097279e+22,848.1360000000002,4.537409e+23,2867.417725,32404.0,5195.415,22497.601562,0.01289725,22.245,32.787,0.01675302,0.03774943,104.99,39.671,107.394,51.97
3356.278,69113940000000.0,31265810000000.0,4.119071e+22,823.42,4.883004e+23,3211.009277,36297.0,5718.61,24329.429688,0.0128069,23.785,33.346,0.07625511,0.03470831,109.324,40.861,111.804,54.71100000000001
864.7389999999998,19116010000000.0,3028230000000.0,1.200358e+22,12.839,2.91173e+23,1518.234009,17162.0,10765.47,10203.095703,-0.0006303999999999999,45.208,44.23,0.25691649,-0.00145924,95.831,54.51600000000001,96.906,58.066
799.502,17793110000000.0,865938400000.0,1.146964e+22,35.876,2.881535e+23,1526.735352,17257.0,11015.67,10229.578125,-0.00182141,48.276,45.542,0.04831793,-0.00421114,92.66,56.205,93.025,59.057
3199.615,66829050000000.0,26765060000000.0,4.45816e+22,720.735,5.128837e+23,3317.084717,37490.0,5280.645,25124.460938,0.00985539,22.559,32.87,0.14140011,0.02942858,103.163,40.113,104.668,51.161
3318.871,67811770000000.0,30855590000000.0,4.492432e+22,851.668,5.445185e+23,3477.787354,39284.0,5696.555,27063.957031,0.011833,22.325,32.158,0.13518786,0.03388971,105.698,39.85,106.694,52.466
3491.151,71142920000000.0,30914450000000.0,4.402276e+22,870.066,5.230752e+23,3789.880371,42787.0,5718.269,30355.800781,0.01263217,22.197,32.108000000000004,0.04743832,0.03491056,108.605,39.357,110.82,52.37300000000001
3293.753,70599190000000.0,27977910000000.0,4.584084e+22,792.7280000000002,5.151708e+23,3827.110107,43207.0,5031.804,31226.550781,0.01028302,20.88,31.746,0.10567393,0.03243424,104.028,39.228,104.137,50.31800000000001
2967.021,61425210000000.0,23401760000000.0,3.861704e+22,689.2289999999998,4.325999e+23,4130.890625,46670.0,5305.936,34819.0625,0.01122705,19.998,30.813,0.043037099999999995,0.03252729,111.361,38.192,112.464,52.646
2519.326,55099390000000.0,16273190000000.0,3.591895e+22,531.3380000000002,3.955679e+23,4385.898438,49495.0,4924.24,37020.367188,0.00878418,20.806,32.215,0.15348709,0.02790122,108.93,40.0,108.867,52.952
