HARP_NO,AR,Begin,End
4025,12042,2014-04-15 17:36:00,2014-04-24 08:12:00
6632,12556,2016-06-16 21:00:00,2016-06-25 05:00:00
6626,12555,2016-06-14 18:48:00,2016-06-15 14:36:00
1149,11367,2011-12-03 14:00:00,2011-12-11 22:12:00
6140,12459,2015-11-24 02:48:00,2015-12-02 11:12:00
131,11098,2010-08-10 23:12:00,2010-08-11 19:12:00
643,11229,2011-05-29 06:48:00,2011-06-06 14:36:00
7262,12712,2018-05-23 19:24:00,2018-06-01 04:12:00
1613,11467,2012-04-24 00:36:00,2012-05-02 11:24:00
2130,11596,2012-10-17 16:12:00,2012-10-27 03:24:00
6356,12500,2016-02-13 12:48:00,2016-02-14 08:36:00
6424,12521,2016-03-10 23:12:00,2016-03-11 21:12:00
1405,11422,2012-02-15 09:36:00,2012-02-16 05:24:00
3212,11845,2013-09-21 04:24:00,2013-09-22 01:48:00
5677,12369,2015-06-11 22:36:00,2015-06-20 07:00:00
327,11142,2010-12-31 09:00:00,2011-01-08 16:48:00
6418,12519,2016-03-09 04:36:00,2016-03-17 23:12:00
5111,12271,2015-01-24 06:24:00,2015-02-01 21:00:00
1410,11421,2012-02-18 00:00:00,2012-02-18 19:48:00
7075,12665,2017-07-05 06:48:00,2017-07-14 05:00:00
